EXPERIMENT,YEAR,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF
12YT002953,2012,2280,V103154,FAM15540,True,2.9,1,57.251091,.
12YT002953,2012,2280,V103154,FAM15540,True,2.9,2,62.7480939,.
12YT002953,2012,2280,V155820,FAM12533,True,2.8,1,73.5361497,2011
12YT002953,2012,2280,V155820,FAM12533,True,2.8,2,72.9141365,2011
12YT002953,2012,2280,V155842,FAM13982,True,2.4,1,61.9180489,2011
12YT002953,2012,2280,V155842,FAM13982,True,2.4,2,72.7061048,2011
12YT002953,2012,2280,V155843,FAM13991,True,3,1,58.3922168,2011
12YT002953,2012,2280,V155843,FAM13991,True,3,2,62.2313604,2011
12YT002953,2012,2290,V103154,FAM15540,True,2.9,1,53.0561077,.
12YT002953,2012,2290,V103154,FAM15540,True,2.9,2,44.7895622,.
12YT002953,2012,2290,V155820,FAM12533,True,2.8,1,26.1364517,2011
12YT002953,2012,2290,V155820,FAM12533,True,2.8,2,58.3059707,2011
12YT002953,2012,2290,V155842,FAM13982,True,2.4,1,25.018523,2011
12YT002953,2012,2290,V155842,FAM13982,True,2.4,2,55.5135283,2011
12YT002953,2012,2290,V155843,FAM13991,True,3,1,34.1789058,2011
12YT002953,2012,2290,V155843,FAM13991,True,3,2,52.4971433,2011
12YT002953,2012,2460,V103154,FAM15540,True,2.9,1,70.2818443,.
12YT002953,2012,2460,V103154,FAM15540,True,2.9,2,76.4442809,.
12YT002953,2012,2460,V155820,FAM12533,True,2.8,1,71.6357603,2011
12YT002953,2012,2460,V155820,FAM12533,True,2.8,2,75.8285131,2011
12YT002953,2012,2460,V155842,FAM13982,True,2.4,1,64.71064,2011
12YT002953,2012,2460,V155842,FAM13982,True,2.4,2,74.012288,2011
12YT002953,2012,2460,V155843,FAM13991,True,3,1,64.7774064,2011
12YT002953,2012,2460,V155843,FAM13991,True,3,2,67.5784734,2011
12YT002953,2012,3120,V103154,FAM15540,True,2.9,1,61.3201252,.
12YT002953,2012,3120,V103154,FAM15540,True,2.9,2,62.6621451,.
