LOCATION,LATITUDE,LONGITUDE,FIPS,AREA,IRRIGATION,TEMP_01,TEMP_02,TEMP_03,TEMP_04,TEMP_05,TEMP_06,TEMP_07,TEMP_08,TEMP_09,TEMP_10,TEMP_11,TEMP_12,TEMP_13,TEMP_14,PREC_01,PREC_02,PREC_03,PREC_04,PREC_05,PREC_06,PREC_07,PREC_08,PREC_09,PREC_10,PREC_11,PREC_12,PREC_13,PREC_14,RAD_01,RAD_02,RAD_03,RAD_04,RAD_05,RAD_06,RAD_07,RAD_08,RAD_09,RAD_10,RAD_11,RAD_12,RAD_13,RAD_14,RAD_13,RAD_14,CEC,PH,ORGANIC MATTER ,CLAY,SILT_TOP,SAND_TOP,AWC_100CM
10,46.501212,-96.33859,27167,7992.5,831.652312,2929.7,2822,2832.7,2612.9,3011.8,3087.2,3004.7,2797.4,2792.1,3071.7,2892.4,3210.3,2793.5,2768.1,3064.8,447.5,433.9,489.8,460.8,462.1,292.1,363.8,635,353.4,589,586.1,417.1,527.1,576.4,538.6,1061350,1097391,1064571,1053405,1060419,1090961,1104384,1071154,1056994,1043535,1032544,1100823,1015998,992691,26.655599,7.222128,6.803356,22.303241,35.982133,41.781395,21.478885
20,48.481819,-97.354542,38099,2102.8,56.178384,2757.8,2567.5,2739.9,2332.2,2781.3,2937.7,2756.8,2692.9,2661.4,2932.4,2843.9,3122.6,2684.1,2687,2977,406.3,520.8,431.2,544.7,448.3,244.5,383.1,459.2,474.1,540.2,573.9,269.6,499.9,503.6,472,1032140,1074451,1026016,992415,1019472,1093612,1069450,1048221,1018966,1006473,1008991,1056317,1023342,974648,29.820095,7.589446,7.175127,31.485822,46.015191,22.490958,25.397483
30,47.383756,-96.36288,27107,6420.4,20.234374,2919.2,2775.3,2862.9,2528.7,2974,3089.9,2949.6,2802.4,2788.6,3058.7,2936.1,3197.4,2813.7,2792.2,3030.1,445.5,517.9,423.2,535.2,428.7,288,388.6,501,391.3,568.4,658.7,300.4,464.6,563.7,488.6,1042626,1082637,1042919,1021606,1032409,1091576,1081653,1053436,1022688,1017612,1018593,1080511,1011937,974301,26.38614,7.328356,6.924282,19.525246,25.714048,54.747396,18.263845
101,47.90848,-97.62637,38035,5189.8,454.833566,2829.6,2652.6,2784.9,2422.6,2867.9,3004.9,2852,2732,2703.5,2982.6,2860.6,3172.7,2726.6,2712.7,3006,408.4,472.2,416.6,512.6,426.6,238.4,359.6,449.6,453.6,607.6,561.2,263.1,533,465.2,501.4,1043781,1082211,1036736,1013961,1038369,1100073,1081216,1050560,1017296,1017071,1018910,1072692,1029851,977706,27.709274,7.314308,6.861001,23.775101,33.212891,42.986473,21.693859
103,46.977,-96.884,38017,12774.4,201.405003,2977.4,2852.1,2901.7,2625.5,3046.3,3147.9,3035.7,2903,2863.7,3142.1,2976,3308.9,2878.3,2861.3,3118.3,409.6,401,428.9,483.7,414.4,260.3,366.9,476.3,367,565.2,570.1,401.7,494.4,576.5,487.9,1061577,1097147,1055795,1048009,1063084,1100467,1098713,1067215,1044233,1029982,1025720,1099641,1018317,988927,32.20978,7.344828,7.484837,41.345197,42.81467,15.911892,27.676606
107,46.908,-98.709,38093,4048.6,115.384619,2914.4,2789.7,2860.3,2579.4,2982.8,3102.2,2963.8,2784.4,2698.4,2965.1,2757.8,3179.5,2718.2,2690.8,3003.4,353.3,301.8,400.5,423.1,396.8,220.7,370.9,397.4,413.7,609.4,507.4,333.3,515.6,588.5,410.3,1076392,1101096,1064253,1059686,1097322,1115373,1115424,1087988,1069617,1052824,1051552,1103974,1046380,1003437,25.642289,7.104803,5.968004,23.659071,34.745153,41.614005,21.378516
110,47.11443,-97.131311,38017,13618.6,256.113597,2977.4,2852.1,2901.7,2625.5,3046.3,3147.9,3035.7,2903,2863.7,3142.1,2976,3308.9,2878.3,2861.3,3118.3,409.6,401,428.9,483.7,414.4,260.3,366.9,476.3,367,565.2,570.1,401.7,494.4,576.5,487.9,1061577,1097147,1055795,1048009,1063084,1100467,1098713,1067215,1044233,1029982,1025720,1099641,1018317,988927,28.207248,7.323727,7.122696,30.040148,35.409505,34.561415,24.01875
119,45.54337,-96.43557,27011,9093.1,188.308826,3073.8,3007.8,2983.2,2826,3206.4,3194.5,3174.5,3034.3,3007.4,3280.4,3067.4,3444.3,2980.3,2949,3281.7,446.5,353,491,471.2,467.4,323.9,343.7,580.3,391,615.6,623.4,436.6,582.5,706.7,472,1083336,1118781,1084910,1086341,1093526,1099081,1125036,1098281,1082630,1070824,1052547,1108340,1031682,1015075,29.832679,7.188441,7.167354,30.999855,39.053037,30.019108,24.644398
120,46.30039,-96.48111,27167,9245.7,190.189566,3034.4,2939.4,2935.2,2736.5,3131.3,3186.3,3118.3,2981.1,2946.8,3217.5,3021.6,3349.6,2931.8,2931.7,3180.8,435.6,379.3,484.6,457.2,454.4,284.8,352,613.1,343.1,539.6,595.4,393.2,556.8,600,542.4,1070084,1105838,1069412,1065263,1073652,1094890,1110837,1077895,1066895,1048150,1035590,1106461,1014054,1002638,29.574653,7.383941,6.698668,32.118056,34.002604,33.870587,24.463845
130,48.137077,-97.573581,38035,4860.3,427.861246,2829.6,2652.6,2784.9,2422.6,2867.9,3004.9,2852,2732,2703.5,2982.6,2860.6,3172.7,2726.6,2712.7,3006,408.4,472.2,416.6,512.6,426.6,238.4,359.6,449.6,453.6,607.6,561.2,263.1,533,465.2,501.4,1043781,1082211,1036736,1013961,1038369,1100073,1081216,1050560,1017296,1017071,1018910,1072692,1029851,977706,28.903212,7.419958,6.8531,25.350694,33.128906,41.495226,22.431814
